Date,Store,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,Unemployment,IsHoliday
2010-02-05,1,42.31,2.572,,,,,,211.0963582,8.106,False
2010-02-12,1,38.51,2.548,,,,,,211.24216980000003,8.106,True
2010-02-19,1,39.93,2.5140000000000002,,,,,,211.2891429,8.106,False
2010-02-26,1,46.63,2.5610000000000004,,,,,,211.3196429,8.106,False
2010-03-05,1,46.5,2.625,,,,,,211.3501429,8.106,False
2010-03-12,1,57.79,2.667,,,,,,211.3806429,8.106,False
2010-03-19,1,54.58,2.72,,,,,,211.21563500000002,8.106,False
2010-03-26,1,51.45,2.7319999999999998,,,,,,211.0180424,8.106,False
2010-04-02,1,62.27,2.719,,,,,,210.82044989999997,7.808,False
2010-04-09,1,65.86,2.77,,,,,,210.62285740000002,7.808,False
2010-04-16,1,66.32,2.8080000000000003,,,,,,210.4887,7.808,False
2010-04-23,1,64.84,2.795,,,,,,210.4391228,7.808,False
2010-04-30,1,67.41,2.78,,,,,,210.3895456,7.808,False
2010-05-07,1,72.55,2.835,,,,,,210.33996839999998,7.808,False
2010-05-14,1,74.78,2.8539999999999996,,,,,,210.3374261,7.808,False
2010-05-21,1,76.44,2.826,,,,,,210.6170934,7.808,False
2010-05-28,1,80.44,2.759,,,,,,210.89676060000002,7.808,False
2010-06-04,1,80.69,2.705,,,,,,211.1764278,7.808,False
2010-06-11,1,80.43,2.668,,,,,,211.4560951,7.808,False
2010-06-18,1,84.11,2.637,,,,,,211.4537719,7.808,False
2010-06-25,1,84.34,2.653,,,,,,211.33865260000002,7.808,False
2010-07-02,1,80.91,2.6689999999999996,,,,,,211.2235333,7.787000000000001,False
2010-07-09,1,80.48,2.642,,,,,,211.108414,7.787000000000001,False
2010-07-16,1,83.15,2.623,,,,,,211.10038540000002,7.787000000000001,False
2010-07-23,1,83.36,2.608,,,,,,211.2351443,7.787000000000001,False
2010-07-30,1,81.84,2.64,,,,,,211.36990319999995,7.787000000000001,False
2010-08-06,1,87.16,2.627,,,,,,211.5046621,7.787000000000001,False
2010-08-13,1,87.0,2.6919999999999997,,,,,,211.63942110000002,7.787000000000001,False
2010-08-20,1,86.65,2.6639999999999997,,,,,,211.60336329999998,7.787000000000001,False
2010-08-27,1,85.22,2.6189999999999998,,,,,,211.5673056,7.787000000000001,False
2010-09-03,1,81.21,2.577,,,,,,211.53124790000004,7.787000000000001,False
2010-09-10,1,78.69,2.565,,,,,,211.49519019999997,7.787000000000001,True
2010-09-17,1,82.11,2.582,,,,,,211.5224596,7.787000000000001,False
2010-09-24,1,80.94,2.6239999999999997,,,,,,211.59722459999998,7.787000000000001,False
2010-10-01,1,71.89,2.603,,,,,,211.6719895,7.837999999999999,False
2010-10-08,1,63.93,2.633,,,,,,211.74675440000001,7.837999999999999,False
2010-10-15,1,67.18,2.72,,,,,,211.81374359999998,7.837999999999999,False
2010-10-22,1,69.86,2.725,,,,,,211.8612937,7.837999999999999,False
2010-10-29,1,69.64,2.716,,,,,,211.9088438,7.837999999999999,False
2010-11-05,1,58.74,2.6889999999999996,,,,,,211.95639390000002,7.837999999999999,False
2010-11-12,1,59.61,2.728,,,,,,212.003944,7.837999999999999,False
2010-11-19,1,51.41,2.7710000000000004,,,,,,211.88967369999997,7.837999999999999,False
2010-11-26,1,64.52,2.735,,,,,,211.74843330000002,7.837999999999999,True
2010-12-03,1,49.27,2.708,,,,,,211.60719300000002,7.837999999999999,False
2010-12-10,1,46.33,2.843,,,,,,211.4659526,7.837999999999999,False
2010-12-17,1,49.84,2.8689999999999998,,,,,,211.40531239999999,7.837999999999999,False
2010-12-24,1,52.33,2.886,,,,,,211.4051222,7.837999999999999,False
2010-12-31,1,48.43,2.943,,,,,,211.4049321,7.837999999999999,True
2011-01-07,1,48.27,2.9760000000000004,,,,,,211.40474190000003,7.742000000000001,False
2011-01-14,1,35.4,2.983,,,,,,211.4574109,7.742000000000001,False
2011-01-21,1,44.04,3.016,,,,,,211.82723430000004,7.742000000000001,False
2011-01-28,1,43.83,3.01,,,,,,212.19705770000002,7.742000000000001,False
2011-02-04,1,42.27,2.989,,,,,,212.56688119999998,7.742000000000001,False
2011-02-11,1,36.39,3.022,,,,,,212.9367046,7.742000000000001,True
2011-02-18,1,57.36,3.045,,,,,,213.2478853,7.742000000000001,False
2011-02-25,1,62.9,3.065,,,,,,213.535609,7.742000000000001,False
2011-03-04,1,59.58,3.2880000000000003,,,,,,213.8233327,7.742000000000001,False
2011-03-11,1,53.56,3.4589999999999996,,,,,,214.11105640000002,7.742000000000001,False
2011-03-18,1,62.76,3.488,,,,,,214.3627114,7.742000000000001,False
2011-03-25,1,69.97,3.4730000000000003,,,,,,214.59993889999998,7.742000000000001,False
2011-04-01,1,59.17,3.5239999999999996,,,,,,214.8371664,7.682,False
2011-04-08,1,67.84,3.622,,,,,,215.07439390000002,7.682,False
2011-04-15,1,71.27,3.7430000000000003,,,,,,215.29185609999996,7.682,False
2011-04-22,1,72.99,3.807,,,,,,215.45990530000003,7.682,False
2011-04-29,1,72.03,3.81,,,,,,215.62795440000002,7.682,False
2011-05-06,1,64.61,3.906,,,,,,215.7960035,7.682,False
2011-05-13,1,75.64,3.8989999999999996,,,,,,215.9640526,7.682,False
2011-05-20,1,67.63,3.907,,,,,,215.7339202,7.682,False
2011-05-27,1,77.72,3.786,,,,,,215.5037878,7.682,False
2011-06-03,1,83.0,3.699,,,,,,215.27365530000003,7.682,False
2011-06-10,1,83.13,3.648,,,,,,215.04352290000003,7.682,False
2011-06-17,1,86.41,3.637,,,,,,214.99805959999998,7.682,False
2011-06-24,1,83.58,3.594,,,,,,215.09109819999998,7.682,False
2011-07-01,1,85.55,3.5239999999999996,,,,,,215.18413680000003,7.962000000000001,False
2011-07-08,1,85.83,3.48,,,,,,215.27717540000003,7.962000000000001,False
2011-07-15,1,88.54,3.575,,,,,,215.3611087,7.962000000000001,False
2011-07-22,1,85.77,3.6510000000000002,,,,,,215.4222784,7.962000000000001,False
2011-07-29,1,86.83,3.682,,,,,,215.4834482,7.962000000000001,False
